Node: 0, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
10.0.0.0        20.0.5.2        255.255.255.0   UGS   318    -      -   2
10.0.3.0        20.0.5.2        255.255.255.0   UGS   224    -      -   2
20.0.2.0        20.0.5.2        255.255.255.0   UGS   307    -      -   2
20.0.9.0        20.0.6.2        255.255.255.0   UGS   188    -      -   3

Node: 6, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.3.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.1.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.8.0        20.0.1.2        255.255.255.0   UGS   149    -      -   2
20.0.17.0       20.0.1.2        255.255.255.0   UGS   219    -      -   2
10.0.16.0       20.0.1.2        255.255.255.0   UGS   168    -      -   2
20.0.13.0       20.0.1.2        255.255.255.0   UGS   258    -      -   2
20.0.14.0       20.0.1.2        255.255.255.0   UGS   229    -      -   2
20.0.0.0        10.0.3.2        255.255.255.0   UGS   195    -      -   1
10.0.9.0        20.0.1.2        255.255.255.0   UGS   187    -      -   2
20.0.5.0        20.0.1.2        255.255.255.0   UGS   213    -      -   2
20.0.6.0        20.0.1.2        255.255.255.0   UGS   193    -      -   2
20.0.7.0        20.0.1.2        255.255.255.0   UGS   176    -      -   2
10.0.15.0       20.0.1.2        255.255.255.0   UGS   240    -      -   2
20.0.12.0       20.0.1.2        255.255.255.0   UGS   264    -      -   2
20.0.26.0       20.0.1.2        255.255.255.0   UGS   265    -      -   2
10.0.14.0       20.0.1.2        255.255.255.0   UGS   269    -      -   2
10.0.11.0       20.0.1.2        255.255.255.0   UGS   296    -      -   2
20.0.22.0       20.0.1.2        255.255.255.0   UGS   288    -      -   2
10.0.1.0        10.0.3.2        255.255.255.0   UGS   205    -      -   1
20.0.18.0       10.0.3.2        255.255.255.0   UGS   283    -      -   1
20.0.19.0       10.0.3.2        255.255.255.0   UGS   298    -      -   1
10.0.2.0        20.0.1.2        255.255.255.0   UGS   223    -      -   2
10.0.6.0        20.0.1.2        255.255.255.0   UGS   220    -      -   2
20.0.8.0        20.0.1.2        255.255.255.0   UGS   209    -      -   2
10.0.21.0       20.0.1.2        255.255.255.0   UGS   275    -      -   2
10.0.10.0       20.0.1.2        255.255.255.0   UGS   343    -      -   2
20.0.10.0       20.0.1.2        255.255.255.0   UGS   332    -      -   2
10.0.18.0       10.0.3.2        255.255.255.0   UGS   309    -      -   1
10.0.17.0       10.0.3.2        255.255.255.0   UGS   293    -      -   1
20.0.20.0       10.0.3.2        255.255.255.0   UGS   299    -      -   1

Node: 7, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.3.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.2.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.4.0        10.0.3.1        255.255.255.0   UGS   86     -      -   1
20.0.15.0       10.0.3.1        255.255.255.0   UGS   151    -      -   1
20.0.16.0       10.0.3.1        255.255.255.0   UGS   169    -      -   1
20.0.0.0        20.0.2.1        255.255.255.0   UGS   184    -      -   2
10.0.8.0        10.0.3.1        255.255.255.0   UGS   160    -      -   1
20.0.17.0       10.0.3.1        255.255.255.0   UGS   230    -      -   1
10.0.16.0       10.0.3.1        255.255.255.0   UGS   179    -      -   1
20.0.13.0       10.0.3.1        255.255.255.0   UGS   269    -      -   1
20.0.14.0       10.0.3.1        255.255.255.0   UGS   240    -      -   1
10.0.1.0        20.0.2.1        255.255.255.0   UGS   194    -      -   2
20.0.18.0       20.0.2.1        255.255.255.0   UGS   272    -      -   2
20.0.19.0       20.0.2.1        255.255.255.0   UGS   287    -      -   2
10.0.9.0        10.0.3.1        255.255.255.0   UGS   198    -      -   1
20.0.5.0        10.0.3.1        255.255.255.0   UGS   224    -      -   1
20.0.6.0        10.0.3.1        255.255.255.0   UGS   204    -      -   1
20.0.7.0        10.0.3.1        255.255.255.0   UGS   187    -      -   1
10.0.15.0       10.0.3.1        255.255.255.0   UGS   251    -      -   1
20.0.12.0       10.0.3.1        255.255.255.0   UGS   275    -      -   1
20.0.26.0       10.0.3.1        255.255.255.0   UGS   276    -      -   1
10.0.14.0       10.0.3.1        255.255.255.0   UGS   280    -      -   1
10.0.11.0       10.0.3.1        255.255.255.0   UGS   307    -      -   1
20.0.22.0       10.0.3.1        255.255.255.0   UGS   299    -      -   1
10.0.18.0       20.0.2.1        255.255.255.0   UGS   298    -      -   2
10.0.17.0       20.0.2.1        255.255.255.0   UGS   282    -      -   2
20.0.20.0       20.0.2.1        255.255.255.0   UGS   288    -      -   2
10.0.2.0        10.0.3.1        255.255.255.0   UGS   234    -      -   1
10.0.6.0        10.0.3.1        255.255.255.0   UGS   231    -      -   1
20.0.8.0        10.0.3.1        255.255.255.0   UGS   220    -      -   1
10.0.21.0       10.0.3.1        255.255.255.0   UGS   286    -      -   1
10.0.10.0       10.0.3.1        255.255.255.0   UGS   354    -      -   1
20.0.10.0       10.0.3.1        255.255.255.0   UGS   343    -      -   1

Node: 8, Time: +30s, Local time: +30s, Ipv4StaticRouting table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
127.0.0.0       0.0.0.0         255.0.0.0       U     0      -      -   0
10.0.4.0        0.0.0.0         255.255.255.0   U     0      -      -   1
20.0.1.0        0.0.0.0         255.255.255.0   U     0      -      -   2
10.0.8.0        10.0.4.2        255.255.255.0   UGS   84     -      -   1
20.0.17.0       10.0.4.2        255.255.255.0   UGS   154    -      -   1
10.0.16.0       10.0.4.2        255.255.255.0   UGS   103    -      -   1
20.0.13.0       10.0.4.2        255.255.255.0   UGS   193    -      -   1
20.0.14.0       10.0.4.2        255.255.255.0   UGS   164    -      -   1
10.0.9.0        10.0.4.2        255.255.255.0   UGS   122    -      -   1
20.0.5.0        10.0.4.2        255.255.255.0   UGS   148    -      -   1
20.0.6.0        10.0.4.2        255.255.255.0   UGS   128    -      -   1
20.0.7.0        10.0.4.2        255.255.255.0   UGS   111    -      -   1
10.0.15.0       10.0.4.2        255.255.255.0   UGS   175    -      -   1
20.0.12.0       10.0.4.2        255.255.255.0   UGS   199    -      -   1
20.0.26.0       10.0.4.2        255.255.255.0   UGS   200    -      -   1
10.0.14.0       10.0.4.2        255.255.255.0   UGS   204    -      -   1
10.0.11.0       10.0.4.2        255.255.255.0   UGS   231    -      -   1
20.0.22.0       10.0.4.2        255.255.255.0   UGS   223    -      -   1
20.0.0.0        20.0.1.1        255.255.255.0   UGS   260    -      -   2
10.0.2.0        10.0.4.2        255.255.255.0   UGS   158    -      -   1
10.0.6.0        10.0.4.2        255.255.255.0   UGS   155    -      -   1
20.0.8.0        10.0.4.2        255.255.255.0   UGS   144    -      -   1
10.0.21.0       10.0.4.2        255.255.255.0   UGS   210    -      -   1
10.0.10.0       10.0.4.2        255.255.255.0   UGS   278    -      -   1
20.0.10.0       10.0.4.2        255.255.255.0   UGS   267    -      -   1
10.0.1.0        20.0.1.1        255.255.255.0   UGS   270    -      -   2
20.0.18.0       20.0.1.1        255.255.255.0   UGS   348    -      -   2
20.0.19.0       20.0.1.1        255.255.255.0   UGS   363    -      -   2
20.0.3.0        10.0.4.2        255.255.255.0   UGS   202    -      -   1
